col,imp,imp_std
ORGANIZATION_TYPE,993.4,140.33816302061246
EXT_SOURCE_1,544.8,89.9538770704187
EXT_SOURCE_3,537.0,134.06155302695848
EXT_SOURCE_2,447.2,93.5291398442218
DAYS_BIRTH,343.6,87.61164306186707
AMT_CREDIT,335.6,67.41884009681567
AMT_ANNUITY,307.2,67.64392064332168
DAYS_ID_PUBLISH,273.2,79.66617852012233
AMT_GOODS_PRICE,265.4,51.90183041088242
DAYS_EMPLOYED,251.0,88.41379982785493
DAYS_REGISTRATION,218.6,77.37118326612305
DAYS_LAST_PHONE_CHANGE,200.4,96.17847992144604
OWN_CAR_AGE,174.2,52.94053267582411
OCCUPATION_TYPE,171.2,39.21351807731614
AMT_INCOME_TOTAL,156.4,65.48129503911785
REGION_POPULATION_RELATIVE,142.8,77.00779181355612
AMT_REQ_CREDIT_BUREAU_YEAR,101.0,35.397740040855716
HOUR_APPR_PROCESS_START,85.8,42.874234687047185
CODE_GENDER,83.4,3.2863353450309956
TOTALAREA_MODE,81.4,38.888301582866795
AMT_REQ_CREDIT_BUREAU_QRT,67.2,21.087911228948208
LANDAREA_AVG,66.4,27.180875629751153
BASEMENTAREA_AVG,55.6,23.67065694060898
NAME_EDUCATION_TYPE,55.2,4.8166378315169185
NAME_FAMILY_STATUS,54.8,7.395944834840238
YEARS_BEGINEXPLUATATION_AVG,52.8,21.05231578710523
LIVINGAREA_MODE,52.6,32.05152102475014
DEF_30_CNT_SOCIAL_CIRCLE,52.0,10.63014581273465
NAME_CONTRACT_TYPE,51.4,5.89915248150105
LANDAREA_MODE,45.8,26.243094329747017
REGION_RATING_CLIENT_W_CITY,45.4,5.941380311005179
COMMONAREA_MODE,45.2,25.440125785852555
COMMONAREA_AVG,45.0,21.059439688652688
LIVINGAREA_AVG,45.0,20.796634343085422
APARTMENTS_AVG,44.4,22.165288177689003
APARTMENTS_MODE,44.2,16.26960356001338
FLAG_DOCUMENT_3,43.4,8.203657720797473
OBS_30_CNT_SOCIAL_CIRCLE,42.4,11.436782764396638
BASEMENTAREA_MODE,42.4,21.431285542402723
LIVINGAPARTMENTS_AVG,42.0,21.529050141610984
NONLIVINGAREA_MODE,41.8,17.683325479106017
YEARS_BUILD_AVG,41.6,23.426480742954116
NONLIVINGAREA_AVG,40.8,24.651571957990836
YEARS_BEGINEXPLUATATION_MODE,39.0,14.6799182559032
FLAG_WORK_PHONE,38.6,6.148170459575759
LIVINGAPARTMENTS_MODE,38.2,11.256109452204168
WEEKDAY_APPR_PROCESS_START,37.2,13.14153720079961
DEF_60_CNT_SOCIAL_CIRCLE,36.2,10.3053384223906
ENTRANCES_AVG,34.4,18.297540818372287
YEARS_BEGINEXPLUATATION_MEDI,34.2,13.330416347586448
OBS_60_CNT_SOCIAL_CIRCLE,28.8,10.848963084092414
BASEMENTAREA_MEDI,27.2,17.866169147301836
REG_CITY_NOT_LIVE_CITY,27.0,5.830951894845301
LIVINGAREA_MEDI,26.8,8.438009243891594
